,Unnamed: 0,Unnamed: 0.1,exam_numname,mes_sub_id,mes_sub_name,exam_term,exam_type,exam_sdate,mes_StudentID,mes_Score,mes_Z_Score,mes_T_Score,mes_dengdi,bf_StudentID,cla_Name,cla_id
0,0,32792,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14545,81.0,-0.03256337,79.73949,0.5518018,14545.0,白-高二(02),902.0
1,1,32793,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14557,68.0,-1.741252,66.06998,0.9504504999999999,14557.0,白-高二(02),902.0
2,2,32794,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14558,78.0,-0.4268760999999999,76.58499,0.6959459,14558.0,白-高二(02),902.0
3,3,32795,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14560,83.0,0.23031179999999998,81.84249,0.4391892,14560.0,白-高二(02),902.0
4,4,32796,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14573,75.0,-0.8211889000000001,73.43049,0.8153153000000001,14573.0,白-高二(02),902.0
5,5,32797,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14581,75.0,-0.8211889000000001,73.43049,0.8175676,14581.0,白-高二(02),902.0
6,6,32798,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14582,71.0,-1.3469389999999999,69.22449,0.9009009,14582.0,白-高二(02),902.0
7,7,32799,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14590,70.0,-1.478377,68.17299,0.9144144000000001,14590.0,白-高二(02),902.0
8,8,32800,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14593,84.0,0.3617494,82.89399999999998,0.4009009,14593.0,白-高二(02),902.0
9,9,32856,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14597,78.0,-0.4268760999999999,76.58499,0.6936937,14597.0,白-高二(02),902.0
10,10,32857,2017学年度第一学期期末总评,7.0,历史,2017-2018-1,5,2018/1/23 00:00:00,14604,67.0,-1.8726900000000002,65.01849,0.9527027,14604.0,白-高二(02),902.0
