,Unnamed: 0,exam_numname,mes_sub_id,mes_sub_name,exam_term,exam_type,exam_sdate,mes_StudentID,mes_Score,mes_Z_Score,mes_T_Score,mes_dengdi,bf_StudentID,cla_Name,cla_id
0,0,2018-1学期期中考试,5.0,化学,2018-2019-1,2,2018/11/5 00:00:00,14501,85.0,1.25205,90.0164,0.1081081,14501,白-高二(01),901
25,25,2018-1学期期中考试,6.0,生物,2018-2019-1,2,2018/11/5 00:00:00,14481,67.0,-2.648293,58.81366,1.0,14481,白-高二(01),901
26,26,2018-1学期期中考试,6.0,生物,2018-2019-1,2,2018/11/5 00:00:00,14483,80.0,-0.7062114,74.35031,0.7727273,14483,白-高二(01),901
30,30,2018-1学期期中考试,6.0,生物,2018-2019-1,2,2018/11/5 00:00:00,14488,85.0,0.04074297,80.32594,0.5454545999999999,14488,白-高二(01),901
31,31,2018-1学期期中考试,6.0,生物,2018-2019-1,2,2018/11/5 00:00:00,14489,88.0,0.4889156,83.91131999999998,0.3409091,14489,白-高二(01),901
32,32,2018-1学期期中考试,6.0,生物,2018-2019-1,2,2018/11/5 00:00:00,14491,81.0,-0.5568206,75.54543000000002,0.75,14491,白-高二(01),901
36,36,2018-1学期期中考试,6.0,生物,2018-2019-1,2,2018/11/5 00:00:00,14493,78.0,-1.004993,71.96005,0.8863636,14493,白-高二(01),901
45,45,2018-1学期期中考试,6.0,生物,2018-2019-1,2,2018/11/5 00:00:00,14494,83.0,-0.2580388,77.93569000000002,0.6590909,14494,白-高二(01),901
46,46,2018-1学期期中考试,6.0,生物,2018-2019-1,2,2018/11/5 00:00:00,14499,81.0,-0.5568206,75.54543000000002,0.7272727,14499,白-高二(01),901
47,47,2018-1学期期中考试,6.0,生物,2018-2019-1,2,2018/11/5 00:00:00,14501,93.0,1.23587,89.88696,0.06818182,14501,白-高二(01),901
48,48,2018-1学期期中考试,6.0,生物,2018-2019-1,2,2018/11/5 00:00:00,14502,87.0,0.3395247,82.71619,0.4545455,14502,白-高二(01),901
49,49,2018-1学期期中考试,6.0,生物,2018-2019-1,2,2018/11/5 00:00:00,14496,80.0,-0.7062114,74.35031,0.7954545999999999,14496,白-高二(01),901
245,245,2018-1学期期中考试,3.0,英语,2018-2019-1,2,2018/11/5 00:00:00,14495,86.0,0.9191822,87.35345,0.17162470000000002,14495,白-高二(03),903
246,246,2018-1学期期中考试,4.0,物理,2018-2019-1,2,2018/11/5 00:00:00,14495,72.0,-0.3802518,76.95798,0.6843854,14495,白-高二(03),903
247,247,2018-1学期期中考试,5.0,化学,2018-2019-1,2,2018/11/5 00:00:00,14495,54.0,-0.9990231,72.00780999999998,0.8641115,14495,白-高二(03),903
