,Unnamed: 0,exam_numname,mes_sub_id,mes_sub_name,exam_term,exam_type,exam_sdate,mes_StudentID,mes_Score,mes_Z_Score,mes_T_Score,mes_dengdi,bf_StudentID,cla_Name,cla_id
33,33,2018-1学期期中考试,1.0,语文,2018-2019-1,2,2018/11/5 00:00:00,14024,93.5,-0.2034356,78.37250999999998,0.6108375,14024,高三(01),921
34,34,2018-1学期期中考试,1.0,语文,2018-2019-1,2,2018/11/5 00:00:00,14307,95.5,-0.0011212,79.99103000000002,0.5418719,14307,高三(04),918
35,35,2018-1学期期中考试,1.0,语文,2018-2019-1,2,2018/11/5 00:00:00,14119,110.0,1.465658,91.72527,0.05418719,14119,高三(09),923
37,37,2018-1学期期中考试,2.0,数学,2018-2019-1,2,2018/11/5 00:00:00,14306,79.0,0.7269966,85.81597,0.2567901,14306,高三(05),922
38,38,2018-1学期期中考试,2.0,数学,2018-2019-1,2,2018/11/5 00:00:00,14192,81.0,0.8926414,87.14113,0.2024691,14192,高三(05),922
39,39,2018-1学期期中考试,2.0,数学,2018-2019-1,2,2018/11/5 00:00:00,14138,64.0,-0.5153393000000001,75.87729,0.7308642,14138,高三(06),924
40,40,2018-1学期期中考试,2.0,数学,2018-2019-1,2,2018/11/5 00:00:00,14169,77.0,0.5613518,84.49081,0.308642,14169,高三(06),924
41,41,2018-1学期期中考试,2.0,数学,2018-2019-1,2,2018/11/5 00:00:00,14199,78.0,0.6441741999999999,85.1534,0.2962963,14199,高三(06),924
42,42,2018-1学期期中考试,2.0,数学,2018-2019-1,2,2018/11/5 00:00:00,14080,63.0,-0.5981618000000001,75.21471,0.7333333000000001,14080,高三(06),924
43,43,2018-1学期期中考试,2.0,数学,2018-2019-1,2,2018/11/5 00:00:00,14055,59.0,-0.9294513,72.56439,0.8320988000000001,14055,高三(06),924
44,44,2018-1学期期中考试,2.0,数学,2018-2019-1,2,2018/11/5 00:00:00,14449,63.0,-0.5981618000000001,75.21471,0.7382715999999999,14449,高三(06),924
93,93,2018-1学期期中考试,1.0,语文,2018-2019-1,2,2018/11/5 00:00:00,14126,90.5,-0.5069072,75.94474,0.729064,14126,高三(04),918
94,94,2018-1学期期中考试,1.0,语文,2018-2019-1,2,2018/11/5 00:00:00,14293,97.5,0.2011932,81.60954,0.4532020000000001,14293,高三(04),918
95,95,2018-1学期期中考试,1.0,语文,2018-2019-1,2,2018/11/5 00:00:00,14234,85.5,-1.012693,71.89845,0.8472905999999999,14234,高三(04),918
96,96,2018-1学期期中考试,1.0,语文,2018-2019-1,2,2018/11/5 00:00:00,14296,96.5,0.100036,80.80029,0.5049260999999999,14296,高三(04),918
97,97,2018-1学期期中考试,1.0,语文,2018-2019-1,2,2018/11/5 00:00:00,14349,80.5,-1.518479,67.85217,0.9236453,14349,高三(04),918
98,98,2018-1学期期中考试,1.0,语文,2018-2019-1,2,2018/11/5 00:00:00,14270,95.5,-0.0011212,79.99103000000002,0.5467981,14270,高三(04),918
99,99,2018-1学期期中考试,1.0,语文,2018-2019-1,2,2018/11/5 00:00:00,14107,93.5,-0.2034356,78.37250999999998,0.6059113,14107,高三(04),918
100,100,2018-1学期期中考试,1.0,语文,2018-2019-1,2,2018/11/5 00:00:00,14191,92.5,-0.3045928,77.56326,0.6502463,14191,高三(04),918
101,101,2018-1学期期中考试,1.0,语文,2018-2019-1,2,2018/11/5 00:00:00,14103,99.5,0.4035076,83.22806,0.3497537,14103,高三(04),918
102,102,2018-1学期期中考试,1.0,语文,2018-2019-1,2,2018/11/5 00:00:00,14075,75.5,-2.024265,63.80588,0.9753695,14075,高三(04),918
103,103,2018-1学期期中考试,1.0,语文,2018-2019-1,2,2018/11/5 00:00:00,14084,84.5,-1.11385,71.0892,0.864532,14084,高三(04),918
104,104,2018-1学期期中考试,1.0,语文,2018-2019-1,2,2018/11/5 00:00:00,14278,97.5,0.2011932,81.60954,0.4581281,14278,高三(04),918
105,105,2018-1学期期中考试,1.0,语文,2018-2019-1,2,2018/11/5 00:00:00,14279,89.0,-0.6586429,74.73085999999998,0.7660099,14279,高三(04),918
106,106,2018-1学期期中考试,1.0,语文,2018-2019-1,2,2018/11/5 00:00:00,13970,100.0,0.4540862,83.63269,0.3275862,13970,高三(04),918
107,107,2018-1学期期中考试,1.0,语文,2018-2019-1,2,2018/11/5 00:00:00,14310,102.5,0.7069791,85.65583000000002,0.2389163,14310,高三(04),918
108,108,2018-1学期期中考试,1.0,语文,2018-2019-1,2,2018/11/5 00:00:00,14105,96.0,0.04945739,80.39565999999998,0.5270935999999999,14105,高三(05),922
109,109,2018-1学期期中考试,1.0,语文,2018-2019-1,2,2018/11/5 00:00:00,14374,87.5,-0.8103786999999999,73.51697,0.8054187,14374,高三(05),922
110,110,2018-1学期期中考试,1.0,语文,2018-2019-1,2,2018/11/5 00:00:00,14365,88.0,-0.7598001,73.9216,0.7881773,14365,高三(05),922
111,111,2018-1学期期中考试,1.0,语文,2018-2019-1,2,2018/11/5 00:00:00,14322,103.0,0.7575576999999999,86.06045999999998,0.226601,14322,高三(05),922
112,112,2018-1学期期中考试,1.0,语文,2018-2019-1,2,2018/11/5 00:00:00,14318,81.5,-1.417322,68.66141999999999,0.91133,14318,高三(05),922
113,113,2018-1学期期中考试,1.0,语文,2018-2019-1,2,2018/11/5 00:00:00,14283,89.0,-0.6586429,74.73085999999998,0.770936,14283,高三(05),922
114,114,2018-1学期期中考试,1.0,语文,2018-2019-1,2,2018/11/5 00:00:00,14113,101.5,0.6058219,84.84657,0.27586209999999994,14113,高三(05),922
115,115,2018-1学期期中考试,1.0,语文,2018-2019-1,2,2018/11/5 00:00:00,14323,83.5,-1.215007,70.27994,0.8768473,14323,高三(05),922
116,116,2018-1学期期中考试,1.0,语文,2018-2019-1,2,2018/11/5 00:00:00,14096,92.5,-0.3045928,77.56326,0.6428571,14096,高三(05),922
117,117,2018-1学期期中考试,1.0,语文,2018-2019-1,2,2018/11/5 00:00:00,14333,95.5,-0.0011212,79.99103000000002,0.5369458,14333,高三(05),922
118,118,2018-1学期期中考试,1.0,语文,2018-2019-1,2,2018/11/5 00:00:00,14165,91.0,-0.4563285,76.34937,0.7068965,14165,高三(05),922
119,119,2018-1学期期中考试,1.0,语文,2018-2019-1,2,2018/11/5 00:00:00,14101,103.5,0.8081363,86.46509,0.1970443,14101,高三(05),922
120,120,2018-1学期期中考试,1.0,语文,2018-2019-1,2,2018/11/5 00:00:00,14317,91.5,-0.4057499000000001,76.75399999999998,0.6995074,14317,高三(05),922
121,121,2018-1学期期中考试,1.0,语文,2018-2019-1,2,2018/11/5 00:00:00,14093,99.0,0.352929,82.82343,0.3768473,14093,高三(05),922
122,122,2018-1学期期中考试,1.0,语文,2018-2019-1,2,2018/11/5 00:00:00,14062,96.5,0.100036,80.80029,0.5073892,14062,高三(05),922
123,123,2018-1学期期中考试,1.0,语文,2018-2019-1,2,2018/11/5 00:00:00,14312,98.0,0.2517718,82.01418000000002,0.4334975,14312,高三(05),922
124,124,2018-1学期期中考试,1.0,语文,2018-2019-1,2,2018/11/5 00:00:00,14300,90.5,-0.5069072,75.94474,0.7315271,14300,高三(05),922
125,125,2018-1学期期中考试,1.0,语文,2018-2019-1,2,2018/11/5 00:00:00,14049,85.0,-1.063272,71.49383,0.8571429,14049,高三(05),922
126,126,2018-1学期期中考试,1.0,语文,2018-2019-1,2,2018/11/5 00:00:00,14285,72.5,-2.327737,61.37811,0.9852217,14285,高三(05),922
127,127,2018-1学期期中考试,1.0,语文,2018-2019-1,2,2018/11/5 00:00:00,14023,91.5,-0.4057499000000001,76.75399999999998,0.6945813,14023,高三(05),922
128,128,2018-1学期期中考试,1.0,语文,2018-2019-1,2,2018/11/5 00:00:00,14375,88.5,-0.7092215000000001,74.32623000000002,0.7832511999999999,14375,高三(05),922
129,129,2018-1学期期中考试,1.0,语文,2018-2019-1,2,2018/11/5 00:00:00,14108,93.0,-0.2540142,77.96789,0.637931,14108,高三(05),922
130,130,2018-1学期期中考试,1.0,语文,2018-2019-1,2,2018/11/5 00:00:00,14238,102.5,0.7069791,85.65583000000002,0.229064,14238,高三(05),922
153,153,2018-1学期期中考试,1.0,语文,2018-2019-1,2,2018/11/5 00:00:00,14205,90.5,-0.5069072,75.94474,0.7216749,14205,高三(09),923
154,154,2018-1学期期中考试,1.0,语文,2018-2019-1,2,2018/11/5 00:00:00,14370,71.5,-2.428894,60.56885,0.9876847,14370,高三(09),923
