studentID,t_info,t_grade,t_atd,t_csp
10842,-1,47,4,-1
10843,-1,47,-1,-1
10844,-1,47,5,-1
10845,-1,47,3,-1
10846,-1,45,2,-1
10847,-1,47,1,-1
10849,-1,45,2,-1
10850,-1,47,4,-1
10851,-1,47,-1,-1
10852,-1,47,-1,-1
10853,-1,45,-1,-1
10854,-1,47,4,-1
10855,-1,47,13,-1
10856,-1,47,1,-1
10857,-1,47,21,-1
10858,-1,47,3,-1
10859,-1,47,10,-1
10860,-1,47,-1,-1
10861,-1,47,-1,-1
10862,-1,45,1,-1
10863,-1,45,5,-1
10864,-1,47,3,-1
10865,-1,45,4,-1
10866,-1,47,-1,-1
10867,-1,45,1,-1
10868,-1,47,26,-1
10869,-1,47,2,-1
10870,-1,47,5,-1
10871,-1,45,3,-1
10872,-1,47,3,-1
10873,-1,47,1,-1
10874,-1,47,-1,-1
10875,-1,47,-1,-1
10876,-1,47,-1,-1
10877,-1,47,2,-1
10878,-1,47,-1,-1
10879,-1,47,-1,-1
10880,-1,47,1,-1
10881,-1,47,4,-1
10882,-1,47,-1,-1
10883,-1,47,-1,-1
10884,-1,47,4,-1
10885,-1,45,6,-1
10886,-1,45,5,-1
10887,-1,44,11,-1
10888,-1,47,4,-1
10889,-1,47,13,-1
10890,-1,45,7,-1
10891,-1,45,2,-1
10892,-1,45,17,-1
10893,-1,45,7,-1
10894,-1,45,2,-1
10895,-1,45,3,-1
10896,-1,45,20,-1
10897,-1,45,3,-1
10898,-1,45,23,-1
10899,-1,44,2,-1
10900,-1,45,3,-1
10901,-1,45,2,-1
10902,-1,44,2,-1
10903,-1,44,-1,-1
10904,-1,45,9,-1
10905,-1,45,3,-1
10906,-1,44,-1,-1
10907,-1,45,4,-1
10908,-1,45,4,-1
10909,-1,45,-1,-1
10910,-1,45,-1,-1
10911,-1,44,1,-1
10912,-1,47,4,-1
10913,-1,47,1,-1
10914,-1,44,-1,-1
10915,-1,47,1,-1
10916,-1,44,-1,-1
10917,-1,45,-1,-1
10918,-1,47,7,-1
10919,-1,44,-1,-1
10920,-1,47,6,-1
10921,-1,47,6,-1
10922,-1,44,1,-1
10923,-1,44,2,-1
10924,-1,45,-1,-1
10925,-1,45,-1,-1
10926,-1,45,4,-1
10927,-1,45,-1,-1
10928,-1,45,-1,-1
10929,-1,45,3,-1
10930,-1,45,1,-1
10931,-1,45,2,-1
10932,-1,45,3,-1
10933,-1,45,1,-1
10934,-1,45,-1,-1
10935,-1,45,1,-1
10936,-1,45,1,-1
10937,-1,45,1,-1
10938,-1,45,6,-1
10939,-1,45,-1,-1
10940,-1,45,2,-1
10942,-1,45,2,-1
10943,-1,45,1,-1
10944,-1,45,3,-1
10945,-1,45,3,-1
10946,-1,45,5,-1
10947,-1,45,-1,-1
10948,-1,45,-1,-1
10949,-1,45,-1,-1
10950,-1,45,1,-1
10951,-1,45,-1,-1
10952,-1,45,-1,-1
10953,-1,45,15,-1
10954,-1,45,1,-1
10955,-1,45,4,-1
10956,-1,45,3,-1
10957,-1,45,-1,-1
10958,-1,45,-1,-1
10961,-1,45,32,-1
10962,-1,45,-1,-1
10963,-1,45,-1,-1
10964,-1,45,-1,-1
10965,-1,45,-1,-1
10966,-1,45,1,-1
10968,-1,45,3,-1
10969,-1,45,1,-1
10970,-1,45,-1,-1
10971,-1,44,3,-1
10972,-1,44,-1,-1
10973,-1,45,-1,-1
10974,-1,45,18,-1
10975,-1,45,3,-1
10976,-1,45,3,-1
10977,-1,44,5,-1
10978,-1,45,10,-1
10979,-1,44,9,-1
10980,-1,45,4,-1
10981,-1,44,4,-1
10982,-1,45,4,-1
10983,-1,45,3,-1
10984,-1,45,2,-1
10985,-1,44,2,-1
10986,-1,45,3,-1
10987,-1,44,-1,-1
10988,-1,45,10,-1
10989,-1,44,2,-1
10990,-1,44,-1,-1
10991,-1,44,2,-1
10992,-1,44,2,-1
10993,-1,44,2,-1
10994,-1,45,2,-1
10995,-1,44,-1,-1
10996,-1,44,-1,-1
10998,-1,44,1,-1
10999,-1,45,12,-1
11000,-1,44,5,-1
11001,-1,44,5,-1
11002,-1,44,-1,-1
11003,-1,44,-1,-1
11004,-1,44,2,-1
11005,-1,44,2,-1
11006,-1,44,2,-1
11007,-1,44,-1,-1
11008,-1,44,2,-1
11009,-1,44,2,-1
11010,-1,44,-1,-1
11011,-1,44,-1,-1
11013,-1,44,1,-1
11015,-1,44,2,-1
11017,-1,45,3,-1
11018,-1,45,17,-1
11019,-1,45,-1,-1
11020,-1,45,-1,-1
11021,-1,45,-1,-1
11022,-1,45,3,-1
11023,-1,45,5,-1
11024,-1,45,-1,-1
11025,-1,45,3,-1
11026,-1,45,1,-1
11027,-1,45,-1,-1
11028,-1,45,2,-1
11029,-1,45,1,-1
11030,-1,45,1,-1
11031,-1,45,2,-1
11032,-1,45,20,-1
11033,-1,45,4,-1
11034,-1,45,10,-1
11035,-1,45,11,-1
11036,-1,45,5,-1
11037,-1,45,1,-1
11038,-1,45,8,-1
11039,-1,45,3,-1
11040,-1,45,-1,-1
11041,-1,45,-1,-1
11042,-1,45,10,-1
11043,-1,45,1,-1
11044,-1,45,18,-1
11046,-1,45,-1,-1
11047,-1,45,-1,-1
11048,-1,95,7,-1
11049,-1,45,1,-1
11050,-1,45,7,-1
11051,-1,45,5,-1
11052,-1,45,13,-1
11053,-1,45,4,-1
11054,-1,45,2,-1
11055,-1,45,3,-1
11056,-1,45,1,-1
11057,-1,45,7,-1
11058,-1,45,9,-1
11059,-1,45,-1,-1
11060,-1,45,-1,-1
11061,-1,45,-1,-1
11062,-1,45,1,-1
11063,-1,45,-1,-1
11064,-1,45,6,-1
11065,-1,45,1,-1
11066,-1,45,-1,-1
11067,-1,45,-1,-1
11068,-1,45,5,-1
